1100, 180, 0 
1150, 173, 0 
1200, 166, -1 
1250, 158, -1 
1300, 152, -1 
1350, 147, -1 
1400, 141, 0 
1450, 136, 0 
1500, 133, 0 
1550, 128, -1 
1600, 123, 0 
1650, 119, -1 
1700, 117, -1 
1750, 113, -1 
1800, 110, 0 
1850, 107, 0 
1900, 104, 1 
1950, 101, -1 
2000, 98, -1 
2050, 96, 0 
2100, 94, 0 
2150, 91, 0 
2200, 90, 0 
2250, 88, 0 
2300, 86, 0 
2350, 84, 0 
2400, 82, 0 
2450, 80, -1 
2500, 78, 0 
2550, 78, 0 
2600, 76, 0 
2650, 74, 0 
2700, 74, -2 
2750, 71, 1 
2800, 70, 0 
2850, 69, 0 
2900, 68, 0 
2950, 66, 0 
3000, 66, 0 
3050, 64, 0 
3100, 63, 0 
3150, 62, 0 
3200, 61, -1 
3250, 61, 0 
3300, 60, 0 
3350, 59, -1 
3400, 58, -1 
3450, 57, 0 
3500, 56, 0 
3550, 55, -1 
3600, 55, 0 
3650, 54, 0 
3700, 53, 0 
3750, 53, 0 
3800, 52, 0 
3850, 51, 1 
3900, 50, 0 
3950, 50, 0 
4000, 49, 0 
4050, 48, -1 
4100, 48, -1 
4150, 47, -1 
4200, 47, 0 
4250, 46, 0 
4300, 46, 0 
4350, 45, 1 
4400, 44, 0 
4450, 45, 0 
4500, 43, -1 
4550, 43, 0 
4600, 43, 0 
4650, 42, 1 
4700, 42, 0 
4750, 42, -1 
4800, 42, 0 
4850, 41, -1 
4900, 40, 0 
4950, 40, 0 
5000, 40, 0 
5050, 39, 0 
5100, 38, 0 
5150, 38, 0 
5200, 38, -1 
5250, 38, 0 
5300, 37, 0 
5350, 37, 0 
5400, 36, 0 
5450, 36, 0 
5500, 36, 0 
5550, 35, 0 
5600, 35, 0 
5650, 34, 0 
5700, 34, 0 
5750, 34, 0 
5800, 34, 0 
5850, 34, 0 
5900, 33, 0 
5950, 33, 0 
6000, 32, 0 
6050, 32, 0 
6100, 31, 0 
6150, 31, 0 
6200, 32, 0 
