epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3198.85,0.38312,0.23755,0.79462,0.99787,0.98077,0.99473,0.91946,0.34326,0.20924,0.80959,0.0015941,0.0015941,0.0015941
43,3248.1,0.38458,0.23775,0.7924,0.9916,0.98626,0.99478,0.93728,0.3292,0.19868,0.80573,0.0015842,0.0015842,0.0015842
44,3297.28,0.3755,0.23306,0.79009,0.99723,0.99046,0.99497,0.93207,0.33352,0.198,0.80819,0.0015743,0.0015743,0.0015743
45,3346.7,0.38821,0.23725,0.7974,1,0.98599,0.995,0.93033,0.3283,0.19983,0.80665,0.0015644,0.0015644,0.0015644
46,3396.31,0.38102,0.2342,0.78906,0.99674,0.97802,0.99475,0.93335,0.33493,0.19775,0.81029,0.0015545,0.0015545,0.0015545
47,3446.1,0.37578,0.23154,0.79343,0.99851,0.98626,0.99495,0.93924,0.31635,0.19042,0.80582,0.0015446,0.0015446,0.0015446
48,3495.42,0.37264,0.2322,0.78857,0.9972,0.97921,0.99425,0.9318,0.32438,0.19295,0.80814,0.0015347,0.0015347,0.0015347
49,3544.73,0.37032,0.23276,0.79241,0.99721,0.98259,0.99494,0.93735,0.32093,0.19441,0.80837,0.0015248,0.0015248,0.0015248
50,3594.34,0.371,0.22912,0.79213,0.99447,0.98786,0.99489,0.92992,0.32824,0.20021,0.80522,0.0015149,0.0015149,0.0015149
51,3643.9,0.36971,0.2287,0.7904,1,0.98757,0.99495,0.94111,0.31663,0.19065,0.80738,0.001505,0.001505,0.001505
52,3693.48,0.37213,0.22989,0.79012,0.99496,0.98626,0.99489,0.93765,0.32085,0.1869,0.80687,0.0014951,0.0014951,0.0014951
53,3742.76,0.36869,0.22775,0.79287,1,0.98077,0.99455,0.93708,0.3147,0.18537,0.80442,0.0014852,0.0014852,0.0014852
54,3792,0.37228,0.22785,0.78877,0.99486,0.98901,0.99486,0.94645,0.3224,0.19636,0.80775,0.0014753,0.0014753,0.0014753
55,3841.59,0.36745,0.22957,0.79057,0.99446,0.98694,0.99492,0.93875,0.29838,0.1843,0.8025,0.0014654,0.0014654,0.0014654
56,3891.14,0.37112,0.22778,0.79018,0.99175,0.9905,0.99483,0.94417,0.30772,0.18815,0.80374,0.0014555,0.0014555,0.0014555
57,3940.91,0.37404,0.22714,0.7919,0.99721,0.98126,0.99478,0.94197,0.31634,0.18514,0.80519,0.0014456,0.0014456,0.0014456
58,3990.31,0.36411,0.22076,0.79036,1,0.99089,0.995,0.94301,0.31322,0.18408,0.80624,0.0014357,0.0014357,0.0014357
59,4039.89,0.36569,0.22633,0.78801,1,0.98235,0.99494,0.94276,0.30868,0.18655,0.80299,0.0014258,0.0014258,0.0014258
60,4089.87,0.36679,0.22491,0.79375,0.99228,0.98901,0.99486,0.94506,0.30886,0.17818,0.80417,0.0014159,0.0014159,0.0014159
61,4139.57,0.3564,0.21897,0.79093,1,0.98879,0.995,0.93523,0.32668,0.18586,0.80624,0.001406,0.001406,0.001406
62,4189.21,0.35714,0.21824,0.78418,1,0.98749,0.99497,0.94202,0.31169,0.18103,0.80398,0.0013961,0.0013961,0.0013961
63,4238.71,0.35669,0.21793,0.7864,1,0.9826,0.99492,0.93896,0.31098,0.18233,0.80394,0.0013862,0.0013862,0.0013862
64,4288.25,0.36049,0.22052,0.78756,1,0.98341,0.995,0.94592,0.30597,0.1852,0.80394,0.0013763,0.0013763,0.0013763
65,4338.35,0.35631,0.21867,0.78653,0.99721,0.98346,0.99495,0.94388,0.29975,0.17305,0.80366,0.0013664,0.0013664,0.0013664
66,4388.22,0.35747,0.21838,0.79073,0.99722,0.98412,0.99486,0.94874,0.30455,0.1809,0.80242,0.0013565,0.0013565,0.0013565
67,4437.88,0.35395,0.21846,0.78584,0.99721,0.9814,0.99476,0.94164,0.30373,0.17612,0.80116,0.0013466,0.0013466,0.0013466
68,4487.68,0.35451,0.21414,0.78545,0.992,0.97253,0.99451,0.93768,0.31277,0.18017,0.80659,0.0013367,0.0013367,0.0013367
69,4537.58,0.35058,0.2121,0.7872,1,0.98538,0.99497,0.94592,0.30545,0.17296,0.80377,0.0013268,0.0013268,0.0013268
70,4587.89,0.35513,0.21727,0.79115,0.99721,0.98346,0.99486,0.94787,0.29693,0.17622,0.80213,0.0013169,0.0013169,0.0013169
71,4638.28,0.35044,0.21328,0.78657,0.9946,0.98626,0.99486,0.95075,0.30572,0.17326,0.80468,0.001307,0.001307,0.001307
72,4688.4,0.35552,0.21633,0.79111,0.99319,0.98352,0.99486,0.94944,0.29902,0.17108,0.80127,0.0012971,0.0012971,0.0012971
73,4738.54,0.34746,0.21302,0.78677,0.998,0.98626,0.99497,0.9456,0.30009,0.17399,0.80271,0.0012872,0.0012872,0.0012872
74,4788.75,0.34989,0.2108,0.78488,0.99452,0.98352,0.99483,0.94678,0.30455,0.17512,0.80283,0.0012773,0.0012773,0.0012773
75,4839.4,0.34446,0.20708,0.78957,0.99864,0.98626,0.99494,0.94573,0.30251,0.16964,0.80275,0.0012674,0.0012674,0.0012674
76,4890.1,0.34569,0.20878,0.78832,0.99986,0.98077,0.99484,0.94574,0.29623,0.17275,0.79997,0.0012575,0.0012575,0.0012575
77,4940.69,0.34897,0.20975,0.78578,1,0.98983,0.995,0.94754,0.29768,0.16996,0.80226,0.0012476,0.0012476,0.0012476
78,4991.12,0.3467,0.21147,0.78601,1,0.98607,0.995,0.94826,0.29843,0.1697,0.80226,0.0012377,0.0012377,0.0012377
79,5042.07,0.34815,0.21219,0.78505,1,0.98549,0.995,0.94322,0.30914,0.17584,0.80508,0.0012278,0.0012278,0.0012278
80,5093.09,0.34775,0.21061,0.78719,1,0.98801,0.995,0.94892,0.29936,0.17397,0.80214,0.0012179,0.0012179,0.0012179
81,5144.14,0.34983,0.21034,0.78888,0.99673,0.97802,0.99486,0.94787,0.30095,0.1668,0.80199,0.001208,0.001208,0.001208
