1100, 170, 2 
1150, 160, 0 
1200, 155, 2 
1250, 148, 1 
1300, 142, 1 
1350, 136, 2 
1400, 131, 1 
1450, 125, 1 
1500, 120, 1 
1550, 118, 2 
1600, 113, 2 
1650, 109, 2 
1700, 106, 2 
1750, 102, 1 
1800, 99, 1 
1850, 96, 1 
1900, 94, 2 
1950, 90, 1 
2000, 88, 1 
2050, 86, 0 
2100, 83, 1 
2150, 81, 1 
2200, 80, 2 
2250, 78, 1 
2300, 75, 1 
2350, 73, 1 
2400, 72, 1 
2450, 70, 2 
2500, 68, 2 
2550, 67, 1 
2600, 65, 2 
2650, 64, 2 
2700, 62, 2 
2750, 61, 2 
2800, 60, 2 
2850, 58, 1 
2900, 58, 1 
2950, 57, 1 
3000, 55, 2 
3050, 54, 0 
3100, 53, 1 
3150, 51, 2 
3200, 51, 1 
3250, 50, 1 
3300, 49, 1 
3350, 47, 1 
3400, 48, 1 
3450, 47, 2 
3500, 45, 1 
3550, 45, 2 
3600, 44, 2 
3650, 43, 1 
3700, 43, 1 
3750, 42, 1 
3800, 42, 1 
3850, 41, 1 
3900, 40, 1 
3950, 40, 2 
4000, 38, 2 
4050, 38, 1 
4100, 37, 2 
4150, 37, 2 
4200, 37, 2 
4250, 36, 2 
4300, 35, 1 
4350, 35, 2 
4400, 34, 1 
4450, 33, 2 
4500, 33, 1 
4550, 33, 2 
4600, 32, 1 
4650, 32, 1 
4700, 31, 1 
4750, 31, 1 
4800, 31, 1 
4850, 30, 2 
4900, 29, 2 
4950, 29, 1 
5000, 29, 2 
5050, 28, 2 
5100, 28, 2 
5150, 28, 1 
5200, 28, 2 
5250, 27, 2 
5300, 27, 1 
5350, 26, 1 
5400, 26, 2 
5450, 26, 2 
5500, 25, 1 
5550, 25, 1 
5600, 25, 1 
5650, 25, 2 
5700, 24, 2 
5750, 23, 1 
5800, 24, 1 
5850, 23, 1 
5900, 24, 2 
5950, 23, 2 
6000, 22, 1 
6050, 22, 2 
6100, 21, 1 
6150, 22, 2 
6200, 22, 2 
