1200, 170, 0 
1210, 168, -1 
1220, 167, 0 
1230, 164, -1 
1240, 163, -1 
1250, 161, -1 
1260, 161, 0 
1270, 159, -1 
1280, 158, -1 
1290, 158, 0 
1300, 156, -1 
1310, 154, -1 
1320, 154, -1 
1330, 153, -1 
1340, 152, -1 
1350, 151, -1 
1360, 150, -1 
1370, 150, 0 
1380, 149, 0 
1390, 146, 0 
1400, 146, 0 
1410, 145, 0 
1420, 144, 0 
1430, 142, -1 
1440, 141, 0 
1450, 140, -1 
1460, 140, -1 
1470, 139, -1 
1480, 138, -1 
1490, 137, 0 
1500, 136, 0 
1510, 136, 0 
1520, 134, -1 
1530, 134, 0 
1540, 133, -1 
1550, 132, 0 
1560, 131, -1 
1570, 131, 0 
1580, 130, -1 
1590, 129, -1 
1600, 128, -1 
1610, 127, 0 
1620, 127, 0 
1630, 126, -1 
1640, 125, 0 
1650, 124, 0 
1660, 124, 0 
1670, 123, 0 
1680, 122, -1 
1690, 121, -1 
1700, 121, 0 
1710, 121, 0 
1720, 120, 0 
1730, 119, 0 
1740, 118, -1 
1750, 118, 0 
1760, 117, 0 
1770, 117, 0 
1780, 115, -1 
1790, 115, 0 
1800, 114, -1 
1810, 113, -1 
1820, 113, 0 
1830, 113, 0 
1840, 112, 0 
1850, 111, -1 
1860, 111, 0 
1870, 111, 0 
1880, 110, 0 
1890, 109, -1 
1900, 108, -1 
1910, 108, 0 
1920, 107, 0 
1930, 107, -1 
1940, 106, 0 
1950, 106, 0 
1960, 105, 0 
1970, 105, 0 
1980, 104, -1 
1990, 104, 0 
2000, 104, 0 
2010, 103, -1 
2020, 102, -1 
2030, 101, 0 
2040, 101, -1 
2050, 101, 0 
2060, 100, -1 
2070, 100, -1 
2080, 100, 0 
2090, 99, 0 
2100, 99, 0 
2110, 99, 0 
2120, 98, -1 
2130, 98, 0 
2140, 97, -1 
2150, 97, -1 
2160, 96, 0 
2170, 95, -1 
2180, 95, 0 
2190, 95, 0 
2200, 94, -1 
